Mon Jan 22 16:27:20 CET 2018 :  Beginning of Experiment f05_5AGCMs_NA_SPG
Sat Feb 03 22:14:58 CET 2018 :  2 18590201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 22:14:59 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 22:24:30 CET 2018 :  2 18590201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 22:24:31 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 22:34:02 CET 2018 :  2 18590201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 22:34:02 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 22:43:37 CET 2018 :  2 18590201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 22:43:37 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 22:53:14 CET 2018 :  2 18590201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 22:53:14 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 23:02:58 CET 2018 :  2 18590201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 23:02:58 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 23:12:31 CET 2018 :  2 18590201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 23:12:32 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 23:21:58 CET 2018 :  2 18590201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 23:21:59 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 23:31:24 CET 2018 :  2 18590201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 23:31:25 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 23:40:56 CET 2018 :  2 18590201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 23:40:57 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 23:50:24 CET 2018 :  2 18590201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 23:50:24 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 23:59:57 CET 2018 :  2 18590201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 23:59:58 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Sun Feb 04 00:09:24 CET 2018 :  2 18590201 f05_5AGCMs_NASPG_sample  - done
Sun Feb 04 00:09:25 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Sun Feb 04 00:18:54 CET 2018 :  2 18590201 f05_5AGCMs_NASPG_sample  - done
Sun Feb 04 00:18:54 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
