Wed Nov 08 09:49:05 CET 2017 :  Beginning of Experiment f01_echam6_amip_T63
Tue Feb 06 09:28:45 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 09:47:14 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 10:05:38 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 10:24:01 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 10:42:08 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 11:00:30 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 11:18:51 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 11:37:05 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 11:55:29 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 12:13:52 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 12:32:13 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 12:50:32 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 13:08:46 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 13:26:58 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 13:45:24 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Tue Feb 06 14:03:41 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
